phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
igf_1	17	44084292	44084364	17_43395675_44990603	AAAAT	{11.6: 150563.63, 12.6: 4743.1, 12.8: 69.2, 13.6: 122443.15, 13.8: 0.0, 14.6: 379571.94, 15.6: 999.91, 17.6: 1.5}	7.94e-9	-	not	0.0	0.0										0.898, 0.316, 0.698, 0.161, 0.375	NA, NA, NA, NA, NA	{11.6: 295.24, 12.6: 766.27, 12.8: 235.37, 13.6: 2466.62, 13.8: 0.0, 14.6: 9008.69, 15.6: 525.11, 17.6: 79.69}	{11.6: 1110.88, 12.6: 82.71, 12.8: 1.08, 13.6: 2016.27, 13.8: 0.0, 14.6: 10136.56, 15.6: 10.41, 17.6: 0.13}	{11.6: 13.77, 12.6: 4.01, 12.8: 0.61, 13.6: 755.04, 13.8: 0.0, 14.6: 1934.67, 15.6: 43.9, 17.6: 0.01}	{11.6: 4638.02, 12.6: 155.89, 12.8: 1.15, 13.6: 4348.27, 13.8: 0.0, 14.6: 12805.23, 15.6: 29.42, 17.6: 0.02}	{11.6: 6257.38, 12.6: 226.16, 12.8: 5.72, 13.6: 4829.89, 13.8: 0.0, 14.6: 17664.46, 15.6: 56.35, 17.6: 0.06}
lymphocyte_percent	17	44084292	44084364	17_43335181_44990603	AAAAT	{11.6: 153204.51, 12.6: 4811.93, 12.8: 72.12, 13.6: 124725.81, 13.8: 0.0, 14.6: 386347.72, 15.6: 1004.73, 17.6: 1.62}	6.55e-17	+	not	0.0	0.0										0.277, 0.0535, 0.216, 0.00148, 0.00444	NA, NA, NA, +, +	{11.6: 293.15, 12.6: 774.35, 12.8: 237.89, 13.6: 2483.99, 13.8: 0.0, 14.6: 9133.92, 15.6: 533.44, 17.6: 80.27}	{11.6: 1128.49, 12.6: 82.09, 12.8: 1.35, 13.6: 2046.79, 13.8: 0.0, 14.6: 10272.67, 15.6: 10.52, 17.6: 0.13}	{11.6: 14.83, 12.6: 4.01, 12.8: 0.62, 13.6: 788.24, 13.8: 0.0, 14.6: 1968.42, 15.6: 43.88, 17.6: 0.01}	{11.6: 4703.63, 12.6: 164.22, 12.8: 1.43, 13.6: 4414.35, 13.8: 0.0, 14.6: 13083.79, 15.6: 30.56, 17.6: 0.02}	{11.6: 6409.06, 12.6: 234.8, 12.8: 6.63, 13.6: 4927.97, 13.8: 0.0, 14.6: 18005.94, 15.6: 57.56, 17.6: 0.06}
mean_corpuscular_haemoglobin	17	44084292	44084364	17_43447419_45085068	AAAAT	{11.6: 153503.26, 12.6: 4822.82, 12.8: 73.5, 13.6: 124770.62, 13.8: 0.0, 14.6: 386979.98, 15.6: 1012.62, 17.6: 1.6}	3.0e-17	+	not	0.0	0.0										0.723, 0.107, 0.484, 0.077, 0.00228	NA, NA, NA, NA, +	{11.6: 293.05, 12.6: 778.08, 12.8: 240.7, 13.6: 2487.59, 13.8: 0.0, 14.6: 9165.41, 15.6: 532.81, 17.6: 77.34}	{11.6: 1124.59, 12.6: 83.01, 12.8: 1.34, 13.6: 2066.86, 13.8: 0.0, 14.6: 10289.91, 15.6: 10.2, 17.6: 0.13}	{11.6: 13.83, 12.6: 4.01, 12.8: 0.62, 13.6: 783.44, 13.8: 0.0, 14.6: 1974.04, 15.6: 44.06, 17.6: 0.01}	{11.6: 4712.01, 12.6: 162.84, 12.8: 1.31, 13.6: 4425.59, 13.8: 0.0, 14.6: 13112.59, 15.6: 31.64, 17.6: 0.02}	{11.6: 6418.68, 12.6: 234.58, 12.8: 6.63, 13.6: 4931.81, 13.8: 0.0, 14.6: 18043.99, 15.6: 58.27, 17.6: 0.06}
mean_corpuscular_volume	17	44084292	44084364	17_43348307_46115597	AAAAT	{11.6: 153450.78, 12.6: 4833.78, 12.8: 71.07, 13.6: 124704.67, 13.8: 0.0, 14.6: 387093.57, 15.6: 1014.96, 17.6: 1.57}	2.64e-23	+	not	0.0	0.0										0.838, 0.133, 0.159, 0.0251, 0.000587	NA, NA, NA, +, +	{11.6: 292.9, 12.6: 768.83, 12.8: 241.21, 13.6: 2496.95, 13.8: 0.0, 14.6: 9167.61, 15.6: 530.16, 17.6: 77.38}	{11.6: 1134.25, 12.6: 83.0, 12.8: 1.35, 13.6: 2058.52, 13.8: 0.0, 14.6: 10288.65, 15.6: 10.14, 17.6: 0.13}	{11.6: 14.83, 12.6: 3.85, 12.8: 0.62, 13.6: 786.17, 13.8: 0.0, 14.6: 1970.84, 15.6: 43.69, 17.6: 0.01}	{11.6: 4727.73, 12.6: 161.16, 12.8: 1.33, 13.6: 4411.58, 13.8: 0.0, 14.6: 13112.76, 15.6: 31.42, 17.6: 0.02}	{11.6: 6410.01, 12.6: 234.15, 12.8: 6.63, 13.6: 4941.93, 13.8: 0.0, 14.6: 18043.05, 15.6: 58.19, 17.6: 0.06}
mean_platelet_volume	17	44084292	44084364	17_41711456_45985027	AAAAT	{11.6: 153631.74, 12.6: 4821.02, 12.8: 71.97, 13.6: 124774.21, 13.8: 0.0, 14.6: 386860.42, 15.6: 1001.44, 17.6: 1.61}	7.46e-26	+	not	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.538, 0.0311, 0.807, 0.28, 0.00524	NA, +, NA, NA, +	{11.6: 294.08, 12.6: 771.64, 12.8: 237.85, 13.6: 2500.51, 13.8: 0.0, 14.6: 9163.94, 15.6: 528.26, 17.6: 78.74}	{11.6: 1129.73, 12.6: 82.55, 12.8: 1.34, 13.6: 2065.9, 13.8: 0.0, 14.6: 10286.3, 15.6: 10.09, 17.6: 0.13}	{11.6: 13.82, 12.6: 4.01, 12.8: 0.62, 13.6: 781.43, 13.8: 0.0, 14.6: 1976.63, 15.6: 43.49, 17.6: 0.01}	{11.6: 4710.68, 12.6: 162.54, 12.8: 1.42, 13.6: 4425.54, 13.8: 0.0, 14.6: 13115.35, 15.6: 30.45, 17.6: 0.02}	{11.6: 6415.28, 12.6: 234.93, 12.8: 6.63, 13.6: 4931.51, 13.8: 0.0, 14.6: 18047.2, 15.6: 58.41, 17.6: 0.06}
mean_sphered_cell_volume	17	44084292	44084364	17_41589118_45031949	AAAAT	{11.6: 151120.27, 12.6: 4742.25, 12.8: 71.24, 13.6: 123030.12, 13.8: 0.0, 14.6: 381581.91, 15.6: 999.08, 17.6: 1.54}	5.43e-82	+	confidently	0.99999666785196	1.0	0.99999056510867	1.0	1.0	1.0	1.0	1.0	0.999994722958076	1.0	0.0	0.765, 0.357, 0.132, 0.00358, 0.000589	NA, NA, NA, +, +	{11.6: 287.79, 12.6: 747.38, 12.8: 232.58, 13.6: 2431.74, 13.8: 0.0, 14.6: 8939.03, 15.6: 510.87, 17.6: 77.62}	{11.6: 1103.37, 12.6: 80.82, 12.8: 1.31, 13.6: 2020.72, 13.8: 0.0, 14.6: 10045.77, 15.6: 9.92, 17.6: 0.13}	{11.6: 14.79, 12.6: 3.92, 12.8: 0.62, 13.6: 773.07, 13.8: 0.0, 14.6: 1924.01, 15.6: 43.59, 17.6: 0.01}	{11.6: 4630.15, 12.6: 157.89, 12.8: 1.42, 13.6: 4330.28, 13.8: 0.0, 14.6: 12908.97, 15.6: 31.27, 17.6: 0.02}	{11.6: 6281.02, 12.6: 231.45, 12.8: 6.57, 13.6: 4829.82, 13.8: 0.0, 14.6: 17645.94, 15.6: 57.16, 17.6: 0.06}
neutrophil_count	17	44084292	44084364	17_43335181_44990603	AAAAT	{11.6: 153176.22, 12.6: 4806.57, 12.8: 70.06, 13.6: 124555.48, 13.8: 0.0, 14.6: 386549.86, 15.6: 1002.77, 17.6: 1.48}	1.46e-13	-	not	0.0	0.0										0.469, 0.0245, 0.476, 0.08, 0.033	NA, -, NA, NA, -	{11.6: 292.3, 12.6: 768.76, 12.8: 239.63, 13.6: 2498.72, 13.8: 0.0, 14.6: 9133.18, 15.6: 526.08, 17.6: 78.34}	{11.6: 1117.98, 12.6: 83.18, 12.8: 1.36, 13.6: 2061.12, 13.8: 0.0, 14.6: 10268.32, 15.6: 9.95, 17.6: 0.13}	{11.6: 14.83, 12.6: 3.85, 12.8: 0.62, 13.6: 785.84, 13.8: 0.0, 14.6: 1970.86, 15.6: 44.0, 17.6: 0.01}	{11.6: 4706.15, 12.6: 160.69, 12.8: 1.34, 13.6: 4400.12, 13.8: 0.0, 14.6: 13097.05, 15.6: 30.63, 17.6: 0.02}	{11.6: 6403.63, 12.6: 235.39, 12.8: 6.63, 13.6: 4928.8, 13.8: 0.0, 14.6: 18009.01, 15.6: 58.5, 17.6: 0.06}
neutrophil_percent	17	44084292	44084364	17_43335181_44999453	AAAAT	{11.6: 153386.6, 12.6: 4826.25, 12.8: 73.48, 13.6: 124544.01, 13.8: 0.0, 14.6: 386330.23, 15.6: 1006.3, 17.6: 1.52}	1.43e-23	-	not	0.0	0.0										0.333, 0.0545, 0.296, 0.00774, 0.00198	NA, NA, NA, -, -	{11.6: 299.23, 12.6: 772.19, 12.8: 236.66, 13.6: 2484.42, 13.8: 0.0, 14.6: 9135.19, 15.6: 529.75, 17.6: 79.6}	{11.6: 1125.5, 12.6: 83.27, 12.8: 1.37, 13.6: 2060.84, 13.8: 0.0, 14.6: 10260.89, 15.6: 10.04, 17.6: 0.13}	{11.6: 14.82, 12.6: 3.85, 12.8: 0.62, 13.6: 781.1, 13.8: 0.0, 14.6: 1975.69, 15.6: 43.92, 17.6: 0.01}	{11.6: 4721.0, 12.6: 161.77, 12.8: 1.34, 13.6: 4407.11, 13.8: 0.0, 14.6: 13075.12, 15.6: 31.64, 17.6: 0.02}	{11.6: 6400.38, 12.6: 234.46, 12.8: 6.63, 13.6: 4931.37, 13.8: 0.0, 14.6: 18011.71, 15.6: 57.41, 17.6: 0.06}
phosphate	17	44084292	44084364	17_43253212_44990603	AAAAT	{11.6: 140335.25, 12.6: 4407.01, 12.8: 66.96, 13.6: 114063.67, 13.8: 0.0, 14.6: 353510.39, 15.6: 919.45, 17.6: 1.64}	1.18e-13	+	not	0.0	0.0										0.661, 0.108, 0.767, 0.0356, 0.003	NA, NA, NA, +, +	{11.6: 280.41, 12.6: 701.54, 12.8: 224.46, 13.6: 2293.33, 13.8: 0.0, 14.6: 8437.69, 15.6: 484.53, 17.6: 76.97}	{11.6: 1019.79, 12.6: 76.45, 12.8: 1.23, 13.6: 1868.76, 13.8: 0.0, 14.6: 9307.62, 15.6: 10.06, 17.6: 0.13}	{11.6: 12.07, 12.6: 3.66, 12.8: 0.49, 13.6: 701.14, 13.8: 0.0, 14.6: 1773.31, 15.6: 41.32, 17.6: 0.01}	{11.6: 4262.88, 12.6: 141.69, 12.8: 1.11, 13.6: 4034.35, 13.8: 0.0, 14.6: 11826.97, 15.6: 26.98, 17.6: 0.02}	{11.6: 5757.95, 12.6: 207.17, 12.8: 5.58, 13.6: 4418.73, 13.8: 0.0, 14.6: 16255.1, 15.6: 55.43, 17.6: 0.06}
red_blood_cell_count	17	44084292	44084364	17_42934895_45437659	AAAAT	{11.6: 153533.9, 12.6: 4815.11, 12.8: 71.94, 13.6: 124813.72, 13.8: 0.0, 14.6: 386913.56, 15.6: 1020.54, 17.6: 1.65}	2.01e-80	-	not	0.0	0.0										0.944, 0.0958, 0.166, 5.57e-7, 0.000326	NA, NA, NA, -, -	{11.6: 293.33, 12.6: 768.08, 12.8: 240.48, 13.6: 2495.65, 13.8: 0.0, 14.6: 9171.96, 15.6: 526.26, 17.6: 79.29}	{11.6: 1121.35, 12.6: 83.17, 12.8: 1.35, 13.6: 2057.34, 13.8: 0.0, 14.6: 10302.69, 15.6: 10.01, 17.6: 0.13}	{11.6: 14.82, 12.6: 3.85, 12.8: 0.62, 13.6: 787.21, 13.8: 0.0, 14.6: 1969.42, 15.6: 44.08, 17.6: 0.01}	{11.6: 4698.45, 12.6: 161.21, 12.8: 1.31, 13.6: 4416.42, 13.8: 0.0, 14.6: 13137.09, 15.6: 31.5, 17.6: 0.02}	{11.6: 6409.34, 12.6: 234.87, 12.8: 6.63, 13.6: 4937.83, 13.8: 0.0, 14.6: 18047.74, 15.6: 57.55, 17.6: 0.06}
red_blood_cell_distribution_width	17	44084292	44084364	17_43245481_45308152	AAAAT	{11.6: 153584.87, 12.6: 4844.95, 12.8: 71.65, 13.6: 124751.43, 13.8: 0.0, 14.6: 386906.88, 15.6: 1009.13, 17.6: 1.49}	1.26e-70	-	singly	0.99918904475929	0.534938	0.999914473861628	0.993863	0.553089	0.722384	1.0	0.528819	0.999031730996379	0.229356	0.0981386	0.339, 0.103, 0.0128, 0.0465, 0.000517	NA, NA, -, -, -	{11.6: 296.43, 12.6: 770.04, 12.8: 241.58, 13.6: 2486.19, 13.8: 0.0, 14.6: 9172.88, 15.6: 529.49, 17.6: 78.41}	{11.6: 1127.82, 12.6: 83.85, 12.8: 1.34, 13.6: 2060.13, 13.8: 0.0, 14.6: 10292.63, 15.6: 10.14, 17.6: 0.13}	{11.6: 14.83, 12.6: 3.85, 12.8: 0.62, 13.6: 785.13, 13.8: 0.0, 14.6: 1971.89, 15.6: 43.68, 17.6: 0.01}	{11.6: 4716.29, 12.6: 160.76, 12.8: 1.35, 13.6: 4403.55, 13.8: 0.0, 14.6: 13133.64, 15.6: 30.39, 17.6: 0.02}	{11.6: 6406.55, 12.6: 233.41, 12.8: 6.63, 13.6: 4946.59, 13.8: 0.0, 14.6: 18043.31, 15.6: 57.47, 17.6: 0.06}
total_protein	17	44084292	44084364	17_43024772_44990603	AAAAT	{11.6: 140450.85, 12.6: 4398.73, 12.8: 65.8, 13.6: 114181.36, 13.8: 0.0, 14.6: 353717.95, 15.6: 928.13, 17.6: 1.56}	3.27e-23	+	not	0.0	0.0										0.833, 0.294, 0.00648, 0.0000337, 0.0356	NA, NA, +, +, +	{11.6: 273.71, 12.6: 704.43, 12.8: 224.83, 13.6: 2291.93, 13.8: 0.0, 14.6: 8455.2, 15.6: 490.93, 17.6: 77.95}	{11.6: 1024.7, 12.6: 74.82, 12.8: 1.24, 13.6: 1873.45, 13.8: 0.0, 14.6: 9317.28, 15.6: 10.42, 17.6: 0.13}	{11.6: 12.07, 12.6: 3.66, 12.8: 0.49, 13.6: 701.28, 13.8: 0.0, 14.6: 1772.61, 15.6: 41.88, 17.6: 0.01}	{11.6: 4280.03, 12.6: 144.1, 12.8: 1.17, 13.6: 4023.24, 13.8: 0.0, 14.6: 11830.45, 15.6: 26.99, 17.6: 0.02}	{11.6: 5758.69, 12.6: 209.42, 12.8: 5.58, 13.6: 4428.33, 13.8: 0.0, 14.6: 16286.35, 15.6: 55.59, 17.6: 0.06}
calcium	17	59450454	59450467	17_59318500_59615235	A	{12.0: 5.88, 13.0: 498061.81, 14.0: 115795.73, 15.0: 274.58}	7.63e-15	+	not	0.0	0.0988164										0.507, 0.726, 0.394, 0.0261, 0.865	NA, NA, NA, +, NA	{12.0: 137.23, 13.0: 5530.48, 14.0: 6847.54, 15.0: 0.75}	{12.0: 0.17, 13.0: 8445.9, 14.0: 3841.11, 15.0: 14.82}	{12.0: 0.02, 13.0: 1457.61, 14.0: 1072.98, 15.0: 3.39}	{12.0: 0.07, 13.0: 16647.73, 14.0: 3666.42, 15.0: 9.78}	{12.0: 3.31, 13.0: 21001.43, 14.0: 5750.14, 15.0: 15.12}
creatinine	17	59450454	59450467	17_58457538_59658087	A	{12.0: 6.7, 13.0: 536214.97, 14.0: 124593.75, 15.0: 294.58}	1.72e-84	+	not	0.0	0.0										0.587, 0.128, 0.0307, 4.76e-6, 0.000245	NA, NA, +, +, +	{12.0: 140.57, 13.0: 5951.23, 14.0: 7365.37, 15.0: 0.83}	{12.0: 0.18, 13.0: 9245.3, 14.0: 4179.22, 15.0: 15.3}	{12.0: 0.02, 13.0: 1593.18, 14.0: 1167.37, 15.0: 3.43}	{12.0: 0.07, 13.0: 18089.26, 14.0: 3978.5, 15.0: 10.17}	{12.0: 4.31, 13.0: 22907.66, 14.0: 6246.0, 15.0: 16.03}
haematocrit	17	59450454	59450467	17_57388532_59615235	A	{12.0: 6.2, 13.0: 543988.23, 14.0: 126875.33, 15.0: 300.24}	6.56e-25	+	doubly	0.974753638888669	1.0	0.698252669301143	1.0	1.0	1.0	1.0	1.0	0.625878921146524	1.0	1.0	0.263, 0.208, 0.258, 0.514, 0.0195	NA, NA, NA, NA, +	{12.0: 147.01, 13.0: 6036.83, 14.0: 7389.28, 15.0: 0.88}	{12.0: 0.18, 13.0: 9325.71, 14.0: 4233.38, 15.0: 16.73}	{12.0: 0.02, 13.0: 1618.3, 14.0: 1198.1, 15.0: 3.58}	{12.0: 0.07, 13.0: 18395.27, 14.0: 4040.16, 15.0: 10.5}	{12.0: 4.32, 13.0: 23303.02, 14.0: 6370.28, 15.0: 16.38}
haemoglobin_concentration	17	59450454	59450467	17_58465556_59623010	A	{12.0: 6.67, 13.0: 544133.1, 14.0: 126730.66, 15.0: 299.57}	7.24e-30	+	confidently	0.992878117838038	1.0	0.886093249652702	1.0	1.0	1.0	1.0	1.0	0.931780891354578	1.0	1.0	0.301, 0.299, 0.361, 0.5, 0.00416	NA, NA, NA, NA, +	{12.0: 148.29, 13.0: 6039.19, 14.0: 7385.6, 15.0: 0.92}	{12.0: 0.18, 13.0: 9308.95, 14.0: 4250.06, 15.0: 16.81}	{12.0: 0.02, 13.0: 1618.8, 14.0: 1197.6, 15.0: 3.58}	{12.0: 0.07, 13.0: 18408.97, 14.0: 4026.69, 15.0: 10.27}	{12.0: 4.32, 13.0: 23301.31, 14.0: 6371.94, 15.0: 16.43}
red_blood_cell_count	17	59450454	59450467	17_58504823_59615235	A	{12.0: 6.06, 13.0: 544182.78, 14.0: 126680.17, 15.0: 300.99}	5.92e-27	+	confidently	0.982807741736632	1.0	0.9792692486766	1.0	1.0	1.0	1.0	1.0	0.907855009151142	1.0	1.0	0.195, 0.302, 0.0381, 0.277, 0.155	NA, NA, +, NA, NA	{12.0: 147.4, 13.0: 6037.6, 14.0: 7387.99, 15.0: 1.01}	{12.0: 0.18, 13.0: 9320.04, 14.0: 4239.17, 15.0: 16.61}	{12.0: 0.02, 13.0: 1620.04, 14.0: 1196.4, 15.0: 3.54}	{12.0: 0.07, 13.0: 18410.3, 14.0: 4024.98, 15.0: 10.65}	{12.0: 4.32, 13.0: 23303.52, 14.0: 6369.8, 15.0: 16.36}
urate	17	59450454	59450467	17_59323945_59623009	A	{12.0: 6.15, 13.0: 535776.18, 14.0: 124583.27, 15.0: 296.4}	3.88e-18	-	confidently	0.853754922284953	0.992312	0.850557277308082	0.934046	0.97843	0.997392	0.962747	0.992312	0.431613321333445	0.788244	0.902287	0.107, 0.279, 0.136, 0.0143, 0.197	NA, NA, NA, -, NA	{12.0: 141.51, 13.0: 5953.69, 14.0: 7353.97, 15.0: 0.83}	{12.0: 0.18, 13.0: 9233.89, 14.0: 4172.45, 15.0: 15.48}	{12.0: 0.02, 13.0: 1592.4, 14.0: 1166.11, 15.0: 3.47}	{12.0: 0.07, 13.0: 18083.32, 14.0: 3976.43, 15.0: 10.18}	{12.0: 3.31, 13.0: 22898.15, 14.0: 6244.55, 15.0: 15.99}
mean_platelet_volume	18	67536040	67536077	18_67215622_68049239	AC	{17.0: 47.28, 18.0: 19365.4, 19.0: 1741.39, 20.0: 59148.79, 21.0: 408226.7, 22.0: 165648.04, 23.0: 17119.5, 24.0: 77.7}	6.73e-34	-	confidently	0.998494475813648	1.0	0.956655737417794	1.0	1.0	1.0	1.0	1.0	0.997084975925348	0.9742	0.938169	0.0292, 0.00199, 0.329, 0.0126, 0.127	-, -, NA, -, NA	{17.0: 48.44, 18.0: 825.08, 19.0: 5148.26, 20.0: 1973.87, 21.0: 3878.76, 22.0: 1490.52, 23.0: 210.71, 24.0: 0.13}	{17.0: 1.24, 18.0: 299.5, 19.0: 53.13, 20.0: 1812.76, 21.0: 7256.53, 22.0: 4003.0, 23.0: 153.58, 24.0: 3.41}	{17.0: 0.01, 18.0: 9.68, 19.0: 7.58, 20.0: 475.7, 21.0: 1793.25, 22.0: 531.77, 23.0: 4.21, 24.0: 0.02}	{17.0: 1.55, 18.0: 792.66, 19.0: 61.84, 20.0: 2013.43, 21.0: 13516.72, 22.0: 5544.5, 23.0: 521.16, 24.0: 1.66}	{17.0: 3.1, 18.0: 759.09, 19.0: 163.51, 20.0: 2542.35, 21.0: 17742.38, 22.0: 7712.64, 23.0: 776.48, 24.0: 4.6}
platelet_distribution_width	18	67536040	67536077	18_66945074_68049239	AC	{17.0: 46.05, 18.0: 19359.09, 19.0: 1727.64, 20.0: 59073.54, 21.0: 408012.08, 22.0: 165673.55, 23.0: 17124.21, 24.0: 76.95}	5.76e-15	-	not	0.0	0.0										0.557, 0.0263, 0.582, 0.222, 0.8	NA, -, NA, NA, NA	{17.0: 48.25, 18.0: 817.86, 19.0: 5150.18, 20.0: 1977.67, 21.0: 3887.34, 22.0: 1480.15, 23.0: 214.16, 24.0: 0.13}	{17.0: 1.23, 18.0: 299.02, 19.0: 54.36, 20.0: 1809.88, 21.0: 7263.92, 22.0: 3996.77, 23.0: 154.67, 24.0: 3.37}	{17.0: 0.01, 18.0: 8.74, 19.0: 7.49, 20.0: 475.33, 21.0: 1794.9, 22.0: 531.5, 23.0: 4.21, 24.0: 0.02}	{17.0: 1.57, 18.0: 792.12, 19.0: 60.8, 20.0: 2007.11, 21.0: 13524.94, 22.0: 5549.04, 23.0: 516.28, 24.0: 1.59}	{17.0: 3.1, 18.0: 761.47, 19.0: 164.73, 20.0: 2546.37, 21.0: 17740.05, 22.0: 7706.22, 23.0: 777.62, 24.0: 4.61}
haematocrit	19	4426165	4426182	19_4226572_4634469	A	{14.0: 0.0, 16.0: 3462.31, 17.0: 469668.14, 18.0: 198132.12}	9.09e-15	-	not	0.0	0.0										0.811, 0.856, 0.847, 0.0261, 0.144	NA, NA, NA, -, NA	{14.0: 0.0, 16.0: 4.78, 17.0: 12130.77, 18.0: 1439.04}	{14.0: 0.0, 16.0: 4.42, 17.0: 10377.24, 18.0: 3197.79}	{14.0: 0.0, 16.0: 0.01, 17.0: 2526.08, 18.0: 294.45}	{14.0: 0.0, 16.0: 61.3, 17.0: 15631.36, 18.0: 6756.75}	{14.0: 0.0, 16.0: 103.09, 17.0: 21231.7, 18.0: 8364.26}
haemoglobin_concentration	19	4426165	4426182	19_4226572_4644732	A	{14.0: 0.0, 16.0: 3485.42, 17.0: 469794.61, 18.0: 197982.85}	2.61e-15	-	not	0.0	0.00234267										0.9, 0.862, 0.495, 0.0221, 0.187	NA, NA, NA, -, NA	{14.0: 0.0, 16.0: 5.66, 17.0: 12129.46, 18.0: 1439.52}	{14.0: 0.0, 16.0: 4.43, 17.0: 10382.84, 18.0: 3192.27}	{14.0: 0.0, 16.0: 0.01, 17.0: 2528.02, 18.0: 292.5}	{14.0: 0.0, 16.0: 62.78, 17.0: 15644.56, 18.0: 6742.06}	{14.0: 0.0, 16.0: 102.72, 17.0: 21229.01, 18.0: 8367.29}
mean_corpuscular_haemoglobin	19	4426165	4426182	19_3850487_4674487	A	{14.0: 0.0, 16.0: 3480.14, 17.0: 469823.47, 18.0: 197953.05}	8.78e-112	-	confidently	0.992985693135182	1.0	0.99897607528315	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.47, 0.00774, 0.701, 0.0000117, 0.0000246	NA, -, NA, -, -	{14.0: 0.0, 16.0: 4.75, 17.0: 12135.44, 18.0: 1434.41}	{14.0: 0.0, 16.0: 4.42, 17.0: 10385.17, 18.0: 3189.92}	{14.0: 0.0, 16.0: 0.01, 17.0: 2524.08, 18.0: 296.46}	{14.0: 0.0, 16.0: 61.93, 17.0: 15663.49, 18.0: 6723.99}	{14.0: 0.0, 16.0: 104.17, 17.0: 21230.7, 18.0: 8364.19}
mean_corpuscular_volume	19	4426165	4426182	19_3850487_4674487	A	{14.0: 0.0, 16.0: 3473.48, 17.0: 469839.88, 18.0: 197949.38}	1.11e-134	-	singly	0.0	0.956763	0.0	0.0	1.0	0.186795	0.313192	0.993773	0.0	0.167972	1.0	0.0414, 0.00209, 0.905, 2.95e-6, 7.19e-6	-, -, NA, -, -	{14.0: 0.0, 16.0: 5.73, 17.0: 12136.06, 18.0: 1432.81}	{14.0: 0.0, 16.0: 4.31, 17.0: 10382.93, 18.0: 3192.2}	{14.0: 0.0, 16.0: 0.01, 17.0: 2526.07, 18.0: 294.46}	{14.0: 0.0, 16.0: 62.73, 17.0: 15646.95, 18.0: 6739.69}	{14.0: 0.0, 16.0: 104.05, 17.0: 21224.77, 18.0: 8370.22}
mean_sphered_cell_volume	19	4426165	4426182	19_3850487_4636955	A	{14.0: 0.0, 16.0: 3440.48, 17.0: 463055.02, 18.0: 195141.98}	7.32e-80	-	not	0.0	0.448109										0.0173, 0.00529, 0.203, 0.00566, 0.00112	-, -, NA, -, -	{14.0: 0.0, 16.0: 4.64, 17.0: 11836.29, 18.0: 1385.7}	{14.0: 0.0, 16.0: 4.42, 17.0: 10144.3, 18.0: 3116.65}	{14.0: 0.0, 16.0: 0.01, 17.0: 2469.28, 18.0: 291.25}	{14.0: 0.0, 16.0: 61.24, 17.0: 15369.53, 18.0: 6632.54}	{14.0: 0.0, 16.0: 101.83, 17.0: 20796.03, 18.0: 8159.09}
red_blood_cell_count	19	4426165	4426182	19_3850487_4636955	A	{14.0: 0.0, 16.0: 3474.77, 17.0: 469661.22, 18.0: 198127.06}	1.34e-13	+	not	0.314886687480176	0.511451										0.215, 0.0166, 0.566, 0.326, 0.354	NA, +, NA, NA, NA	{14.0: 0.0, 16.0: 5.51, 17.0: 12122.49, 18.0: 1446.59}	{14.0: 0.0, 16.0: 4.31, 17.0: 10374.59, 18.0: 3200.61}	{14.0: 0.0, 16.0: 0.01, 17.0: 2528.1, 18.0: 292.42}	{14.0: 0.0, 16.0: 63.45, 17.0: 15636.31, 18.0: 6749.61}	{14.0: 0.0, 16.0: 102.34, 17.0: 21224.37, 18.0: 8372.34}
red_blood_cell_distribution_width	19	4426165	4426182	19_4226652_4587711	A	{14.0: 0.0, 16.0: 3478.71, 17.0: 469743.22, 18.0: 198041.04}	2.92e-27	+	not	0.0	0.0										0.645, 0.0346, 0.509, 0.00844, 0.00323	NA, +, NA, +, +	{14.0: 0.0, 16.0: 5.63, 17.0: 12143.43, 18.0: 1425.56}	{14.0: 0.0, 16.0: 4.32, 17.0: 10373.81, 18.0: 3201.36}	{14.0: 0.0, 16.0: 0.01, 17.0: 2527.04, 18.0: 293.49}	{14.0: 0.0, 16.0: 63.63, 17.0: 15623.87, 18.0: 6761.86}	{14.0: 0.0, 16.0: 102.89, 17.0: 21229.08, 18.0: 8367.09}
